Detection_ID,Plate_Number,Confidence,Camera_ID,Camera_Name,Timestamp_PTS,Timestamp_UTC,Watchlist_Flag,Reason
DET-GUJ-1-3,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525747560,2026-09-04 18:12:27.560,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-6,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525747680,2026-09-04 18:12:27.680,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-9,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525747800,2026-09-04 18:12:27.800,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-12,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525747920,2026-09-04 18:12:27.920,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-15,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525748040,2026-09-04 18:12:28.040,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-18,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525748160,2026-09-04 18:12:28.160,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-21,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525748280,2026-09-04 18:12:28.280,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-24,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525748400,2026-09-04 18:12:28.400,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-27,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525748520,2026-09-04 18:12:28.520,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
DET-GUJ-1-30,GJ01ST0007,96.4,1,"Camera 1 - Chiman bhai Bridge, Ahmedabad",1788525748640,2026-09-04 18:12:28.640,True,CRITICAL: STOLEN VEHICLE (FIR #2026-8812 / Navrangpura PS)
